2019-11-20 10:03:25,194 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=3a31c429a69dbdc97fdd362fa3adad13, lastModifiedOld=1574215398970, lastModifiedNew=1574215405068

2019-11-20 10:03:38,843 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=461f1f78f382a1f6e8ec117f561b9cc7, lastModifiedOld=1574215412402, lastModifiedNew=1574215418721

2019-11-20 10:04:23,831 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=cdcc830bb36fd1fef56d7a1404ca608e, lastModifiedOld=1574215458581, lastModifiedNew=1574215463761

2019-11-20 10:05:33,459 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=30bc0e0b0303fcdd9b06bf76f6b18abd, lastModifiedOld=1574215525153, lastModifiedNew=1574215533407

2019-11-20 10:05:42,391 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=d81ab38e37d00f1f55b28ee78f87e011, lastModifiedOld=1574215536888, lastModifiedNew=1574215542296

2019-11-20 10:05:58,547 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=a3db2e7f8221eb2ba435c656217330e6, lastModifiedOld=1574215546960, lastModifiedNew=1574215558477

2019-11-20 10:06:02,472 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=a3db2e7f8221eb2ba435c656217330e6, lastModifiedOld=1574215546960, lastModifiedNew=1574215562359

2019-11-20 10:08:30,910 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=3b71a3c131c1cef5f4deb714e8db80be, lastModifiedOld=1574215702073, lastModifiedNew=1574215710840

2019-11-20 10:16:49,691 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 10:16:49,691 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574215710840, length=23, md5=3b71a3c131c1cef5f4deb714e8db80be

2019-11-20 11:20:46,923 WARN [dump-ignore] ignore to save cache file. groupKey=example-dev.properties+DEFAULT_GROUP, md5=b54f63e58da12198344316a61a93add0, lastModifiedOld=1574219009716, lastModifiedNew=1574220046879

